city,phone_service,multiple_lines,internet_service,internet_type,contract_type,"tenure (months)",customer_status
Ballico,Yes,Yes,Yes,DSL,"Two Year",46,Stayed
Maxwell,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,18,Stayed
"West Hills",Yes,No,No,None,"Two Year",62,Stayed
"San Francisco",Yes,No,No,None,Month-to-Month,8,Stayed
"Live Oak",Yes,Yes,Yes,DSL,Month-to-Month,50,Stayed
Rialto,Yes,No,No,None,"Two Year",47,Stayed
Calipatria,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,32,Stayed
"Carnelian Bay",Yes,Yes,Yes,DSL,"Two Year",72,Stayed
Tupman,Yes,Yes,Yes,DSL,"One Year",64,Stayed
"San Geronimo",Yes,No,No,None,Month-to-Month,20,Stayed
Bakersfield,Yes,No,Yes,Cable,"Two Year",67,Stayed
Bieber,Yes,Yes,Yes,"Fiber Optic","Two Year",63,Stayed
"Fort Bidwell",Yes,Yes,Yes,"Fiber Optic","One Year",64,Stayed
Woodlake,Yes,No,Yes,DSL,"One Year",39,Stayed
"La Mirada",Yes,No,Yes,DSL,Month-to-Month,7,Stayed
"San Diego",Yes,Yes,Yes,"Fiber Optic","One Year",56,Churned
Fresno,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,39,Stayed
Herald,Yes,No,Yes,DSL,Month-to-Month,14,Stayed
"Rio Oso",No,No,Yes,Cable,"Two Year",6,Stayed
"Los Angeles",Yes,Yes,Yes,Cable,Month-to-Month,11,Churned
Tujunga,Yes,Yes,Yes,"Fiber Optic","One Year",67,Churned
Oakland,Yes,Yes,Yes,DSL,"Two Year",69,Stayed
"Santa Cruz",Yes,No,Yes,"Fiber Optic",Month-to-Month,6,Churned
"Los Angeles",Yes,Yes,Yes,"Fiber Optic","One Year",62,Stayed
"Santa Barbara",Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
Oakland,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
"Pacific Grove",Yes,No,No,None,Month-to-Month,9,Churned
Merced,Yes,No,No,None,Month-to-Month,10,Stayed
"Dos Rios",Yes,No,Yes,DSL,"One Year",43,Stayed
Williams,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
Traver,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,14,Churned
"Junction City",Yes,No,No,None,"Two Year",50,Stayed
Ontario,Yes,Yes,No,None,"Two Year",61,Stayed
"San Diego",Yes,Yes,Yes,"Fiber Optic","Two Year",52,Churned
Foresthill,Yes,No,No,None,Month-to-Month,19,Stayed
"Citrus Heights",Yes,Yes,Yes,"Fiber Optic","One Year",55,Stayed
Escondido,Yes,No,No,None,"One Year",16,Stayed
"Scott Bar",Yes,No,No,None,"Two Year",58,Stayed
Bakersfield,Yes,No,Yes,Cable,Month-to-Month,46,Stayed
"San Bernardino",Yes,No,Yes,"Fiber Optic",Month-to-Month,6,Stayed
"Walnut Grove",Yes,No,No,None,"Two Year",63,Stayed
Tehama,Yes,No,Yes,Cable,"Two Year",51,Stayed
"Los Angeles",Yes,Yes,Yes,DSL,"Two Year",72,Stayed
"San Francisco",Yes,No,Yes,DSL,Month-to-Month,44,Stayed
Coleville,Yes,Yes,Yes,Cable,Month-to-Month,27,Stayed
Holtville,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,26,Stayed
Phelan,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,30,Stayed
Compton,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,41,Stayed
Glencoe,Yes,No,No,None,"Two Year",39,Stayed
Lakeside,Yes,Yes,Yes,DSL,"Two Year",67,Stayed
"Los Angeles",Yes,Yes,Yes,"Fiber Optic","One Year",66,Churned
Taft,Yes,Yes,Yes,Cable,"One Year",51,Stayed
"San Bernardino",Yes,No,No,None,Month-to-Month,9,Stayed
"Dillon Beach",Yes,No,No,None,Month-to-Month,7,Stayed
Orange,Yes,No,Yes,"Fiber Optic",Month-to-Month,5,Stayed
Camarillo,Yes,Yes,Yes,DSL,"Two Year",50,Stayed
Platina,Yes,No,No,None,"Two Year",27,Stayed
Oxnard,Yes,Yes,Yes,"Fiber Optic","One Year",48,Churned
Manteca,Yes,No,Yes,DSL,Month-to-Month,8,Stayed
"Van Nuys",Yes,No,No,None,"Two Year",35,Stayed
Philo,Yes,No,No,None,Month-to-Month,10,Stayed
"Villa Park",Yes,No,No,None,"One Year",35,Stayed
"San Diego",Yes,No,Yes,"Fiber Optic","One Year",12,Stayed
"Green Valley Lake",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,24,Stayed
"Berry Creek",Yes,Yes,Yes,DSL,"Two Year",72,Stayed
"Scott Bar",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,33,Stayed
Gridley,Yes,No,Yes,"Fiber Optic",Month-to-Month,44,Churned
"Imperial Beach",Yes,No,No,None,Month-to-Month,38,Stayed
"West Covina",Yes,No,Yes,"Fiber Optic",Month-to-Month,18,Churned
Auburn,Yes,No,Yes,DSL,"One Year",27,Stayed
Litchfield,Yes,Yes,Yes,"Fiber Optic","Two Year",71,Stayed
Temecula,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,39,Churned
"Desert Center",Yes,No,Yes,"Fiber Optic",Month-to-Month,21,Churned
Ventura,Yes,Yes,Yes,DSL,"Two Year",72,Stayed
"Myers Flat",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,23,Stayed
Litchfield,Yes,Yes,Yes,Cable,"Two Year",65,Stayed
Greenwood,Yes,No,Yes,"Fiber Optic","Two Year",68,Stayed
"San Jose",Yes,Yes,No,None,"Two Year",59,Stayed
"Crows Landing",Yes,No,Yes,"Fiber Optic",Month-to-Month,18,Stayed
Tarzana,Yes,No,No,None,"One Year",29,Stayed
"Canoga Park",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,1,Churned
"San Diego",Yes,No,Yes,Cable,"One Year",17,Stayed
"San Diego",No,No,Yes,DSL,Month-to-Month,5,Stayed
Riverside,Yes,No,Yes,"Fiber Optic","Two Year",67,Stayed
Adelanto,Yes,No,Yes,Cable,Month-to-Month,10,Stayed
Heber,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,47,Churned
"San Diego",Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
"Los Angeles",Yes,No,Yes,Cable,"One Year",63,Stayed
"Seal Beach",Yes,No,No,None,Month-to-Month,11,Churned
"North Hollywood",Yes,No,Yes,"Fiber Optic",Month-to-Month,29,Stayed
"Los Angeles",Yes,No,Yes,DSL,Month-to-Month,1,Churned
Mineral,Yes,Yes,Yes,"Fiber Optic","One Year",50,Stayed
"Pico Rivera",Yes,No,Yes,DSL,Month-to-Month,12,Churned
"Big Bar",Yes,Yes,Yes,"Fiber Optic","One Year",40,Stayed
"San Diego",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,25,Churned
Elmira,No,No,Yes,DSL,Month-to-Month,46,Stayed
Lomita,Yes,No,Yes,DSL,Month-to-Month,4,Churned
Brentwood,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,22,Stayed
"Long Beach",Yes,No,Yes,DSL,"Two Year",62,Stayed
"San Francisco",Yes,Yes,No,None,"Two Year",71,Stayed
Hickman,Yes,Yes,Yes,DSL,"Two Year",72,Stayed
"Moreno Valley",Yes,Yes,Yes,"Fiber Optic","One Year",53,Stayed
Burlingame,Yes,No,Yes,"Fiber Optic",Month-to-Month,9,Churned
"Los Angeles",Yes,No,No,None,"One Year",17,Stayed
Cassel,Yes,No,Yes,"Fiber Optic","Two Year",64,Stayed
Castaic,Yes,No,Yes,Cable,"Two Year",72,Stayed
"Porter Ranch",Yes,No,Yes,"Fiber Optic","Two Year",39,Stayed
Burbank,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,29,Stayed
Torrance,Yes,No,Yes,DSL,Month-to-Month,30,Stayed
Lakeport,Yes,No,Yes,DSL,"Two Year",55,Stayed
"Long Barn",Yes,Yes,Yes,DSL,"Two Year",72,Stayed
"Clipper Mills",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,4,Stayed
"San Bernardino",Yes,No,No,None,Month-to-Month,1,Churned
Gustine,Yes,No,Yes,"Fiber Optic","One Year",39,Stayed
Sacramento,Yes,No,Yes,"Fiber Optic","Two Year",72,Stayed
"San Bernardino",Yes,No,Yes,Cable,Month-to-Month,26,Stayed
Shasta,Yes,Yes,No,None,"Two Year",71,Stayed
Stockton,Yes,No,Yes,"Fiber Optic",Month-to-Month,10,Churned
Riverside,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,1,Churned
Newcastle,Yes,No,Yes,"Fiber Optic",Month-to-Month,15,Stayed
"Long Beach",Yes,Yes,Yes,Cable,"Two Year",72,Stayed
"El Nido",Yes,Yes,Yes,"Fiber Optic","Two Year",71,Stayed
Capitola,Yes,No,Yes,"Fiber Optic",Month-to-Month,2,Churned
"Old Station",No,No,Yes,DSL,Month-to-Month,3,Churned
Tollhouse,Yes,Yes,Yes,"Fiber Optic","One Year",50,Churned
Orland,No,No,Yes,DSL,"One Year",56,Stayed
"El Sobrante",No,No,Yes,DSL,"Two Year",5,Stayed
"Santa Rosa",Yes,Yes,No,None,"Two Year",25,Stayed
Pasadena,Yes,No,No,None,"Two Year",72,Stayed
Manton,Yes,No,No,None,"Two Year",19,Stayed
Davis,Yes,Yes,Yes,DSL,"Two Year",54,Stayed
"Somes Bar",Yes,No,Yes,"Fiber Optic","Two Year",37,Stayed
Shandon,No,No,Yes,Cable,"Two Year",59,Stayed
Pixley,Yes,Yes,Yes,"Fiber Optic","Two Year",65,Stayed
Oakland,Yes,No,Yes,DSL,"One Year",56,Stayed
"San Diego",Yes,No,Yes,Cable,"One Year",47,Stayed
Cutler,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,21,Stayed
"Echo Lake",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,3,Churned
"San Diego",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,10,Churned
"Live Oak",Yes,No,Yes,Cable,Month-to-Month,9,Churned
Weaverville,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,36,Churned
"San Diego",Yes,No,Yes,Cable,Month-to-Month,8,Stayed
"Thousand Palms",Yes,No,Yes,"Fiber Optic",Month-to-Month,7,Stayed
Fremont,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
"National City",No,No,Yes,DSL,Month-to-Month,5,Stayed
Westminster,Yes,Yes,Yes,"Fiber Optic","Two Year",59,Stayed
"Granite Bay",Yes,No,No,None,"Two Year",64,Stayed
Homeland,Yes,No,Yes,Cable,Month-to-Month,1,Churned
"Agoura Hills",Yes,Yes,Yes,"Fiber Optic","Two Year",65,Churned
"Long Beach",Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
"La Jolla",No,No,Yes,DSL,Month-to-Month,28,Stayed
"San Francisco",Yes,Yes,No,None,"Two Year",13,Stayed
"San Mateo",Yes,No,Yes,Cable,Month-to-Month,39,Stayed
Whittier,No,No,Yes,DSL,"One Year",22,Stayed
"El Cerrito",Yes,Yes,Yes,DSL,Month-to-Month,14,Stayed
Fontana,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,4,Churned
Carlotta,Yes,Yes,Yes,Cable,"One Year",24,Stayed
Cool,Yes,Yes,Yes,DSL,"Two Year",70,Stayed
"Menlo Park",Yes,Yes,Yes,DSL,"Two Year",70,Stayed
Burbank,Yes,No,Yes,"Fiber Optic",Month-to-Month,50,Stayed
"Rancho Santa Fe",Yes,No,Yes,"Fiber Optic",Month-to-Month,17,Stayed
Thermal,Yes,Yes,Yes,"Fiber Optic","Two Year",67,Stayed
Mentone,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,55,Stayed
"Santa Monica",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,49,Stayed
Modesto,Yes,Yes,Yes,"Fiber Optic","Two Year",66,Stayed
"Yuba City",No,No,Yes,DSL,"Two Year",66,Stayed
"Belvedere Tiburon",Yes,No,No,None,"Two Year",72,Stayed
Oakley,Yes,Yes,Yes,"Fiber Optic","One Year",65,Stayed
Yorkville,Yes,No,No,None,Month-to-Month,26,Stayed
Raymond,Yes,No,Yes,DSL,"Two Year",43,Stayed
"Los Altos",No,No,Yes,DSL,"Two Year",67,Stayed
"Newbury Park",Yes,Yes,Yes,"Fiber Optic","One Year",58,Stayed
Wilseyville,Yes,No,Yes,DSL,"Two Year",58,Stayed
Corcoran,Yes,No,Yes,DSL,"Two Year",48,Stayed
Montclair,Yes,Yes,Yes,Cable,"Two Year",70,Stayed
"Pacific Palisades",Yes,No,No,None,Month-to-Month,4,Stayed
"Rancho Santa Margarita",Yes,No,Yes,Cable,Month-to-Month,7,Stayed
Burson,Yes,No,Yes,"Fiber Optic",Month-to-Month,22,Stayed
Heber,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,23,Churned
"Chula Vista",Yes,No,Yes,"Fiber Optic","One Year",51,Stayed
Seeley,No,No,Yes,DSL,"One Year",23,Stayed
Berkeley,Yes,No,Yes,"Fiber Optic",Month-to-Month,50,Stayed
Orosi,Yes,Yes,Yes,DSL,"Two Year",69,Stayed
Guatay,Yes,No,Yes,DSL,Month-to-Month,14,Stayed
Carpinteria,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,6,Churned
"Thousand Oaks",No,No,Yes,DSL,"Two Year",72,Stayed
Hemet,Yes,Yes,Yes,DSL,"Two Year",57,Stayed
Greenfield,Yes,No,No,None,"Two Year",52,Stayed
"Long Beach",Yes,Yes,Yes,DSL,"Two Year",67,Stayed
Madera,Yes,Yes,Yes,"Fiber Optic","Two Year",57,Stayed
Stockton,Yes,Yes,Yes,"Fiber Optic","Two Year",45,Stayed
"Big Oak Flat",Yes,No,Yes,DSL,"Two Year",60,Stayed
Arnold,Yes,No,No,None,"Two Year",43,Stayed
"La Palma",Yes,Yes,Yes,"Fiber Optic","Two Year",72,Stayed
Strathmore,Yes,No,Yes,DSL,Month-to-Month,5,Stayed
Calpine,Yes,Yes,No,None,"Two Year",68,Stayed
"Knights Landing",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,23,Stayed
Stevinson,Yes,Yes,Yes,Cable,Month-to-Month,41,Stayed
"San Quentin",Yes,No,Yes,DSL,"Two Year",56,Stayed
Hughson,Yes,No,Yes,DSL,"One Year",20,Stayed
"Lower Lake",No,No,Yes,DSL,"One Year",36,Stayed
Delhi,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,52,Churned
Sierraville,Yes,No,Yes,"Fiber Optic",Month-to-Month,2,Churned
"San Diego",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,37,Churned
Sacramento,Yes,Yes,Yes,"Fiber Optic","One Year",42,Stayed
Cabazon,Yes,No,Yes,"Fiber Optic","Two Year",16,Stayed
Galt,Yes,Yes,No,None,"Two Year",67,Stayed
"Grand Terrace",No,No,Yes,DSL,Month-to-Month,48,Stayed
"Del Mar",Yes,Yes,Yes,"Fiber Optic","One Year",66,Stayed
Escondido,Yes,Yes,Yes,DSL,"Two Year",61,Stayed
"Strawberry Valley",Yes,Yes,No,None,"Two Year",67,Stayed
"North Palm Springs",Yes,No,Yes,"Fiber Optic",Month-to-Month,46,Churned
"Avila Beach",Yes,Yes,Yes,"Fiber Optic","Two Year",18,Stayed
Lakewood,Yes,No,No,None,"Two Year",57,Stayed
"La Verne",Yes,Yes,Yes,"Fiber Optic","One Year",57,Stayed
"West Point",Yes,Yes,No,None,Month-to-Month,15,Stayed
Oroville,No,No,Yes,DSL,Month-to-Month,2,Churned
Capitola,Yes,No,Yes,"Fiber Optic","One Year",53,Stayed
Montrose,Yes,No,Yes,"Fiber Optic",Month-to-Month,15,Churned
Occidental,Yes,Yes,Yes,"Fiber Optic","Two Year",72,Stayed
"Los Angeles",Yes,No,Yes,DSL,"Two Year",47,Stayed
Cottonwood,Yes,Yes,Yes,Cable,"One Year",48,Stayed
"San Bernardino",Yes,Yes,No,None,"Two Year",12,Stayed
Jolon,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,25,Churned
Burlingame,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,9,Churned
Adin,Yes,No,Yes,"Fiber Optic",Month-to-Month,7,Stayed
"North Hills",Yes,No,Yes,DSL,"Two Year",65,Stayed
"Long Beach",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,37,Stayed
Alameda,Yes,No,No,None,"Two Year",63,Stayed
Arbuckle,Yes,No,No,None,"Two Year",53,Stayed
"Forest Ranch",Yes,No,Yes,Cable,Month-to-Month,28,Stayed
Salida,Yes,Yes,Yes,"Fiber Optic","Two Year",66,Stayed
Stanford,Yes,Yes,Yes,DSL,"Two Year",69,Stayed
Capay,Yes,No,No,None,"Two Year",24,Stayed
"Rancho Cucamonga",Yes,Yes,Yes,Cable,"Two Year",72,Stayed
"Yucca Valley",Yes,Yes,Yes,DSL,"Two Year",23,Stayed
Glendale,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,35,Stayed
Navarro,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,40,Stayed
Belmont,Yes,No,Yes,DSL,Month-to-Month,21,Stayed
Lakewood,Yes,Yes,Yes,Cable,"Two Year",71,Stayed
Inglewood,Yes,No,Yes,"Fiber Optic","Two Year",50,Stayed
"Raisin City",Yes,Yes,Yes,DSL,"Two Year",72,Stayed
Goleta,Yes,No,Yes,DSL,"One Year",31,Stayed
"Los Angeles",Yes,No,No,None,"One Year",16,Stayed
Sacramento,Yes,No,No,None,"One Year",17,Stayed
"Beverly Hills",Yes,No,Yes,DSL,Month-to-Month,8,Stayed
"Pebble Beach",Yes,No,Yes,DSL,"Two Year",34,Stayed
Riverside,No,No,Yes,DSL,Month-to-Month,5,Churned
"O Neals",Yes,Yes,Yes,DSL,"One Year",37,Stayed
Madeline,Yes,Yes,Yes,"Fiber Optic","Two Year",30,Stayed
Hood,Yes,No,Yes,"Fiber Optic","One Year",69,Churned
"San Jacinto",Yes,No,Yes,DSL,Month-to-Month,4,Stayed
"Palo Alto",Yes,No,Yes,DSL,"Two Year",57,Stayed
"Cardiff By The Sea",Yes,No,Yes,Cable,"Two Year",72,Stayed
"Moreno Valley",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,28,Stayed
"San Diego",Yes,No,Yes,DSL,Month-to-Month,1,Churned
Torrance,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,53,Churned
Patterson,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,14,Churned
"San Francisco",Yes,No,No,None,"Two Year",71,Stayed
Lakewood,Yes,Yes,No,None,"Two Year",43,Stayed
"Long Beach",Yes,No,Yes,Cable,Month-to-Month,23,Stayed
"Santa Rosa",Yes,Yes,Yes,Cable,Month-to-Month,22,Churned
Tecate,Yes,No,Yes,"Fiber Optic","One Year",69,Stayed
Lotus,Yes,No,Yes,DSL,Month-to-Month,12,Stayed
"Santa Clara",Yes,Yes,No,None,Month-to-Month,15,Stayed
Redding,No,No,Yes,Cable,"Two Year",20,Stayed
Visalia,Yes,Yes,Yes,DSL,"Two Year",72,Stayed
Ojai,Yes,No,Yes,"Fiber Optic","Two Year",40,Stayed
Sacramento,No,No,Yes,DSL,"Two Year",52,Stayed
"Mountain View",No,No,Yes,Cable,"Two Year",72,Stayed
Klamath,Yes,Yes,Yes,"Fiber Optic","Two Year",63,Stayed
"Rio Dell",Yes,Yes,Yes,"Fiber Optic","Two Year",71,Churned
"Los Banos",Yes,Yes,Yes,"Fiber Optic","Two Year",71,Stayed
"North Highlands",Yes,No,No,None,"Two Year",35,Stayed
"Los Angeles",No,No,Yes,DSL,"Two Year",72,Stayed
Courtland,Yes,Yes,Yes,"Fiber Optic","Two Year",38,Stayed
Bradley,Yes,Yes,No,None,"Two Year",72,Stayed
"Forest Falls",Yes,Yes,No,None,"Two Year",61,Stayed
Westminster,Yes,No,Yes,DSL,"Two Year",26,Stayed
"Morro Bay",Yes,Yes,No,None,"Two Year",22,Stayed
Caliente,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
"San Francisco",Yes,No,Yes,Cable,Month-to-Month,32,Stayed
Fowler,Yes,Yes,Yes,"Fiber Optic","Two Year",70,Stayed
Hood,Yes,No,No,None,"Two Year",17,Stayed
"Soda Springs",Yes,No,Yes,Cable,"Two Year",46,Stayed
"Newport Beach",Yes,Yes,Yes,DSL,"One Year",56,Stayed
"Crescent Mills",Yes,Yes,Yes,DSL,Month-to-Month,13,Stayed
Landers,Yes,Yes,Yes,DSL,"One Year",68,Stayed
"West Covina",Yes,Yes,Yes,"Fiber Optic","One Year",22,Stayed
Fresno,Yes,Yes,Yes,DSL,"Two Year",72,Stayed
"San Mateo",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,3,Churned
Glendale,Yes,No,Yes,DSL,Month-to-Month,8,Churned
Washington,Yes,No,No,None,"Two Year",69,Stayed
"Santa Ysabel",Yes,No,No,None,"One Year",22,Stayed
"San Bernardino",Yes,No,Yes,DSL,Month-to-Month,7,Stayed
Temecula,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,43,Churned
Elmira,Yes,No,Yes,"Fiber Optic",Month-to-Month,4,Churned
Dinuba,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,18,Churned
"La Verne",Yes,Yes,Yes,Cable,"One Year",53,Stayed
Winchester,Yes,Yes,Yes,"Fiber Optic","Two Year",56,Stayed
"Woodland Hills",Yes,Yes,Yes,DSL,"Two Year",65,Stayed
Wilmington,Yes,Yes,Yes,DSL,"Two Year",0,Stayed
Fallbrook,No,No,Yes,Cable,Month-to-Month,35,Stayed
Pasadena,No,No,Yes,DSL,Month-to-Month,45,Stayed
"San Diego",Yes,Yes,Yes,"Fiber Optic","Two Year",72,Stayed
Oakhurst,No,No,Yes,DSL,"One Year",34,Stayed
Hanford,Yes,Yes,Yes,DSL,"Two Year",72,Stayed
"Warner Springs",Yes,No,Yes,"Fiber Optic","One Year",64,Stayed
Huron,No,No,Yes,Cable,"Two Year",72,Stayed
"Rowland Heights",Yes,Yes,No,None,Month-to-Month,10,Stayed
"Grand Terrace",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,48,Stayed
Helendale,Yes,No,Yes,"Fiber Optic","One Year",28,Stayed
Alamo,Yes,No,Yes,"Fiber Optic","Two Year",69,Stayed
Piercy,Yes,Yes,Yes,"Fiber Optic","Two Year",72,Stayed
"El Cerrito",Yes,Yes,Yes,"Fiber Optic","Two Year",72,Stayed
"Los Angeles",Yes,No,Yes,Cable,Month-to-Month,27,Stayed
"La Grange",Yes,No,No,None,"Two Year",42,Stayed
Covina,Yes,Yes,No,None,"Two Year",62,Stayed
Perris,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,6,Stayed
Samoa,Yes,Yes,Yes,"Fiber Optic","Two Year",72,Stayed
Modesto,Yes,No,Yes,"Fiber Optic",Month-to-Month,10,Churned
Bridgeville,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,34,Churned
"San Diego",Yes,No,No,None,"One Year",33,Stayed
Chualar,Yes,No,Yes,"Fiber Optic","One Year",29,Stayed
"Redwood Valley",Yes,No,Yes,DSL,"Two Year",54,Stayed
"Long Beach",No,No,Yes,Cable,"Two Year",7,Stayed
"Long Beach",Yes,Yes,No,None,"Two Year",10,Stayed
"Running Springs",No,No,Yes,DSL,"One Year",40,Churned
Millville,Yes,No,Yes,DSL,"One Year",62,Stayed
Fallbrook,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,32,Churned
Arcata,No,No,Yes,Cable,"One Year",25,Stayed
"Los Angeles",Yes,No,Yes,DSL,Month-to-Month,4,Churned
"Lake Elsinore",No,No,Yes,Cable,Month-to-Month,13,Churned
"San Jose",Yes,No,Yes,"Fiber Optic","Two Year",25,Stayed
Orosi,Yes,No,Yes,"Fiber Optic","One Year",26,Stayed
"Rancho Palos Verdes",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,35,Stayed
"Los Angeles",Yes,Yes,Yes,"Fiber Optic","One Year",66,Stayed
Vista,No,No,Yes,DSL,Month-to-Month,43,Stayed
Alamo,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,67,Stayed
Sunnyvale,No,No,Yes,DSL,"One Year",69,Stayed
"Shaver Lake",Yes,Yes,Yes,DSL,"Two Year",56,Stayed
"Cathedral City",Yes,Yes,Yes,DSL,"Two Year",53,Stayed
Bakersfield,Yes,No,Yes,"Fiber Optic","Two Year",70,Stayed
Earp,No,No,Yes,Cable,"Two Year",72,Stayed
Crockett,Yes,No,Yes,DSL,Month-to-Month,25,Stayed
Midpines,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,19,Stayed
"California City",Yes,Yes,No,None,"Two Year",61,Stayed
Sausalito,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,3,Churned
Tustin,Yes,Yes,Yes,"Fiber Optic","One Year",31,Stayed
Visalia,Yes,No,No,None,Month-to-Month,1,Churned
Alhambra,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
Novato,Yes,No,Yes,"Fiber Optic",Month-to-Month,5,Churned
Doyle,Yes,Yes,Yes,Cable,"Two Year",69,Stayed
"Playa Del Rey",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,18,Stayed
Marshall,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,40,Churned
"Forest Ranch",No,No,Yes,Cable,Month-to-Month,17,Stayed
"San Jose",Yes,No,Yes,Cable,Month-to-Month,13,Stayed
"Monterey Park",Yes,Yes,Yes,DSL,"Two Year",68,Stayed
Mineral,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,42,Churned
Camarillo,Yes,Yes,Yes,"Fiber Optic","One Year",44,Stayed
Platina,Yes,No,No,None,"One Year",11,Stayed
Brawley,Yes,Yes,Yes,Cable,"Two Year",28,Stayed
"Chula Vista",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,55,Stayed
"San Marino",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,15,Churned
Glendora,Yes,No,No,None,"Two Year",69,Stayed
Stonyford,Yes,No,No,None,"One Year",41,Stayed
Magalia,Yes,No,Yes,"Fiber Optic",Month-to-Month,46,Stayed
"Redwood City",Yes,Yes,Yes,"Fiber Optic","One Year",62,Stayed
"San Diego",Yes,Yes,Yes,"Fiber Optic","One Year",49,Churned
Brownsville,Yes,No,Yes,"Fiber Optic","Two Year",13,Stayed
"Cedar Glen",Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
Palmdale,Yes,Yes,No,None,"Two Year",18,Stayed
"Santa Clara",Yes,Yes,Yes,"Fiber Optic","One Year",67,Stayed
Fallbrook,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,33,Stayed
Kingsburg,Yes,Yes,Yes,Cable,"Two Year",72,Stayed
Lewiston,Yes,No,Yes,Cable,Month-to-Month,15,Stayed
Standish,Yes,No,No,None,"Two Year",13,Stayed
Arcadia,Yes,No,No,None,"Two Year",72,Stayed
Seaside,Yes,Yes,Yes,"Fiber Optic","Two Year",72,Stayed
Sunnyvale,Yes,Yes,Yes,DSL,"Two Year",71,Stayed
"San Diego",No,No,Yes,Cable,"Two Year",70,Stayed
Graton,Yes,Yes,Yes,Cable,"Two Year",64,Stayed
"Los Angeles",Yes,Yes,No,None,"Two Year",6,Stayed
"Hawaiian Gardens",Yes,No,No,None,"Two Year",64,Stayed
"Mountain View",Yes,No,Yes,DSL,"One Year",35,Stayed
"Westlake Village",Yes,Yes,Yes,"Fiber Optic","Two Year",43,Stayed
"San Francisco",Yes,Yes,Yes,DSL,"One Year",61,Stayed
"Red Bluff",Yes,No,Yes,DSL,"Two Year",70,Stayed
"Pilot Hill",Yes,Yes,Yes,"Fiber Optic","Two Year",21,Stayed
"Douglas City",No,No,Yes,DSL,"Two Year",72,Stayed
